home_win_rate,away_win_rate,home_avg_goals,away_avg_goals,home_last5_points,away_last5_points,home_form,away_form,home_goal_difference,away_goal_difference,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_streak,away_streak,target
0.4,0.2,1.4,0.4,8,6,1,2,0.19999999999999996,0.0,1.2,0.4,13.4,8.0,1,1,H
0.0,0.0,1.2,0.4,2,2,1,2,-0.6000000000000001,-2.4,1.8,2.8,11.6,4.4,-1,-2,A
0.6,0.0,2.6,1.2,9,3,6,1,0.3999999999999999,-0.40000000000000013,2.2,1.6,17.0,13.0,-1,-1,A
0.2,0.4,0.8,0.6,6,7,2,1,-0.3999999999999999,0.0,1.2,0.6,9.0,9.2,1,-1,H
0.4,0.8,2.0,2.4,8,13,4,4,1.4,1.4,0.6,1.0,15.2,15.6,-1,3,D
0.8,0.2,1.6,0.6,13,5,7,1,1.2000000000000002,-1.6,0.4,2.2,16.4,8.6,4,0,H
0.2,0.2,0.4,1.2,4,5,3,1,-0.6,0.0,1.0,1.2,9.2,11.4,1,0,A
0.6,0.0,1.8,0.4,10,2,4,0,1.2000000000000002,-0.7999999999999999,0.6,1.2,14.2,8.4,0,-2,H
0.4,0.2,0.8,0.8,8,4,4,4,-0.19999999999999996,-2.2,1.0,3.0,10.2,5.8,2,1,H
0.6,0.4,1.8,1.4,11,7,4,3,1.0,0.0,0.8,1.4,13.8,15.2,2,1,H
1.0,0.4,2.2,1.6,15,8,9,4,2.0,1.0,0.2,0.6,13.8,16.4,5,-1,H
0.0,0.6,0.4,1.2,4,11,2,5,-0.19999999999999996,0.6,0.6,0.6,11.0,12.0,-1,0,A
0.2,0.4,1.6,0.6,6,6,2,0,1.2000000000000002,-0.20000000000000007,0.4,0.8,15.2,10.0,0,-2,A
0.4,0.0,1.6,0.2,7,1,3,0,0.6000000000000001,-1.4000000000000001,1.0,1.6,13.2,6.8,-2,-3,H
0.2,0.6,0.6,1.2,5,11,4,4,-1.0,0.6,1.6,0.6,8.0,11.8,-1,3,A
0.0,0.4,0.2,1.6,1,6,1,3,-1.4000000000000001,-0.3999999999999999,1.6,2.0,6.8,13.4,-4,-2,A
0.2,0.8,0.2,2.2,5,13,4,6,-0.39999999999999997,2.0,0.6,0.2,7.0,15.6,-1,1,A
0.2,1.0,1.0,2.4,4,15,0,3,-1.7999999999999998,2.1999999999999997,2.8,0.2,6.8,17.2,-1,5,A
0.4,0.4,0.4,1.4,6,7,3,1,-0.19999999999999996,0.3999999999999999,0.6,1.0,9.2,12.2,1,1,H
0.2,0.0,0.8,1.4,4,2,1,1,-1.0,-0.6000000000000001,1.8,2.0,14.8,13.2,-1,-2,D
0.2,0.0,1.2,0.6,5,3,1,2,-0.19999999999999996,-0.4,1.4,1.0,10.2,11.6,1,-2,D
0.8,0.6,1.4,1.8,12,11,3,4,0.7999999999999999,1.0,0.6,0.8,8.4,12.0,1,3,D
0.8,0.2,1.2,0.4,13,3,6,0,0.7999999999999999,-0.9999999999999999,0.4,1.4,13.2,11.2,1,-1,A
0.4,0.0,1.6,0.2,8,3,4,1,0.6000000000000001,-0.39999999999999997,1.0,0.6,12.6,17.8,1,-1,A
0.6,0.0,1.2,0.4,10,0,4,0,0.3999999999999999,-1.6,0.8,2.0,7.8,9.6,0,-5,A
0.2,0.0,1.0,1.2,5,2,4,2,-0.6000000000000001,-0.6000000000000001,1.6,1.8,6.6,11.8,-2,0,H
1.0,0.4,3.0,0.8,15,6,9,3,2.8,-0.5999999999999999,0.2,1.4,18.6,10.2,5,1,H
0.2,0.0,0.8,0.4,3,3,0,2,-2.8,-0.4,3.6,0.8,6.6,11.4,-2,0,D
0.8,0.6,2.2,1.2,13,10,4,7,2.0,0.3999999999999999,0.2,0.8,14.4,14.2,2,-1,D
0.2,0.2,0.4,1.2,5,4,4,1,-0.6,-0.40000000000000013,1.0,1.6,7.8,11.6,-2,-1,A
0.2,0.6,0.6,1.0,5,9,2,3,-0.6,0.19999999999999996,1.2,0.8,13.8,8.4,0,2,H
0.6,0.6,1.6,1.6,11,9,6,6,1.0,0.6000000000000001,0.6,1.0,13.8,11.8,0,1,A
0.8,0.2,1.4,0.6,13,5,6,4,0.7999999999999999,0.0,0.6,0.6,13.0,17.2,4,1,A
0.2,0.4,0.8,1.8,5,8,2,4,-0.19999999999999996,0.6000000000000001,1.0,1.2,10.8,11.6,0,-1,H
0.4,0.2,0.8,1.2,6,4,3,3,-0.5999999999999999,-1.8,1.4,3.0,9.6,6.8,-1,0,H
0.0,0.6,1.2,2.0,2,11,0,6,-0.6000000000000001,1.8,1.8,0.2,11.2,15.6,-1,0,H
0.4,0.2,0.8,0.4,8,4,0,0,0.20000000000000007,-0.7999999999999999,0.6,1.2,13.2,11.2,0,-3,H
0.2,0.4,0.6,1.0,3,7,0,1,-1.0,-0.3999999999999999,1.6,1.4,10.6,8.0,1,1,A
0.6,0.4,2.0,0.8,9,7,0,6,0.8,-0.19999999999999996,1.2,1.0,11.2,8.2,2,-1,A
0.4,1.0,0.8,2.6,6,15,3,3,-0.3999999999999999,2.6,1.2,0.0,7.6,17.0,-1,5,A
0.4,0.8,1.2,1.6,6,12,3,6,-0.19999999999999996,0.40000000000000013,1.4,1.2,11.2,13.0,1,-1,A
0.4,0.4,1.2,1.0,7,8,1,3,0.3999999999999999,0.19999999999999996,0.8,0.8,17.8,11.4,2,1,A
0.0,0.6,0.8,1.6,3,10,0,4,-0.3999999999999999,0.6000000000000001,1.2,1.0,11.8,14.0,0,-1,A
0.4,0.4,1.6,0.8,7,7,4,3,0.40000000000000013,-0.19999999999999996,1.2,1.0,12.0,14.4,-2,1,A
0.4,0.4,1.2,1.4,6,8,3,3,-0.40000000000000013,0.7999999999999999,1.6,0.6,12.0,13.2,-1,-1,H
0.4,0.6,0.8,0.6,6,10,3,6,-0.5999999999999999,0.39999999999999997,1.4,0.2,5.8,11.4,-2,2,D
0.2,0.2,0.8,0.4,3,3,0,0,-1.0,-2.6,1.8,3.0,13.4,10.2,-1,-4,H
0.0,0.8,0.6,2.0,2,12,0,6,-0.7999999999999999,0.6000000000000001,1.4,1.4,10.4,14.8,-1,1,D
0.4,0.4,2.4,1.0,8,7,3,6,1.7999999999999998,-0.19999999999999996,0.6,1.2,15.4,8.8,1,1,D
0.2,0.2,1.0,1.4,4,4,1,3,-0.3999999999999999,-1.2000000000000002,1.4,2.6,9.4,7.0,-3,-1,H
0.2,0.6,1.0,1.6,4,10,3,4,-0.3999999999999999,0.8,1.4,0.8,11.2,14.0,1,1,D
0.4,1.0,1.2,2.8,7,15,1,6,0.3999999999999999,2.8,0.8,0.0,16.6,17.2,-1,5,A
0.6,0.6,1.2,0.8,9,10,6,6,0.0,0.4,1.2,0.4,11.0,16.2,1,2,A
0.4,0.4,1.2,1.0,6,7,0,4,-0.40000000000000013,-0.6000000000000001,1.6,1.6,11.6,7.4,-1,2,H
0.6,0.6,0.8,1.4,11,9,4,3,0.6000000000000001,0.19999999999999996,0.2,1.2,12.4,12.2,0,1,D
1.0,0.4,2.8,1.2,15,6,6,3,2.5999999999999996,0.0,0.2,1.2,16.2,9.0,5,1,H
0.4,0.4,1.0,1.0,6,7,3,3,-1.0,-0.3999999999999999,2.0,1.4,6.6,7.8,-1,0,A
0.4,0.4,1.2,1.4,8,6,3,6,0.3999999999999999,-0.20000000000000018,0.8,1.6,13.4,14.8,0,-2,H
0.0,0.2,0.6,0.8,0,5,0,1,-3.0,-0.19999999999999996,3.6,1.0,11.6,11.4,-5,0,A
0.0,0.4,0.8,3.0,1,8,1,4,-1.8,1.8,2.6,1.2,5.4,16.6,-2,0,D
0.4,0.6,1.4,1.6,7,9,4,6,0.5999999999999999,0.6000000000000001,0.8,1.0,13.8,11.4,-2,1,H
0.4,0.0,1.6,0.6,8,3,1,2,0.0,-0.6,1.6,1.2,8.0,12.4,0,0,A
0.6,0.4,1.8,1.2,10,6,3,3,0.40000000000000013,-0.40000000000000013,1.4,1.6,13.4,9.2,0,-1,H
0.6,0.4,1.0,1.4,10,6,4,3,0.4,-0.20000000000000018,0.6,1.6,13.8,13.8,3,1,H
0.4,0.2,1.4,0.8,7,6,4,5,0.0,0.0,1.4,0.8,9.8,12.4,1,1,D
0.2,1.0,1.2,3.0,5,15,1,9,-0.6000000000000001,2.8,1.8,0.2,8.4,13.6,-1,5,A
0.4,0.6,0.8,2.0,8,9,4,6,0.20000000000000007,0.3999999999999999,0.6,1.6,8.8,11.8,1,-1,H
0.4,0.2,1.6,1.2,6,4,0,4,-0.3999999999999999,-1.0000000000000002,2.0,2.2,12.4,7.4,-3,-2,A
0.2,0.4,1.0,1.0,6,6,1,3,0.0,-0.6000000000000001,1.0,1.6,12.0,7.8,0,-2,H
0.0,0.8,0.8,1.4,0,13,0,6,-2.8,1.2,3.6,0.2,11.4,15.6,-5,4,D
0.2,0.0,1.0,0.8,5,2,2,0,-0.19999999999999996,-1.5999999999999999,1.2,2.4,9.4,5.6,0,0,D
